R, G, B, Xdim, Ydim, Zdim, Xpos, Ypos, Zpos
1.0, 1.0, 1.0, 1.4, 0.01, 1.0, 0.2, -0.5, 0.5
0.0, 0.0, 0.0, 0.4, 0.4, 0.01, 0.0, 0.0, -0.006
1.0, 1.0, 1.0, 0.01, 0.9, 1.0, -0.55, 0.0, 0.5
0.2, 0.2, 0.2, 1.4, 0.9, 0.01, 0.2, 0.05, -0.016
1.0, 0.0, 0.0, 0.3, 0.4, 0.01, -0.35, 0.0, 0.0
1.0, 0.0, 0.0, 0.3, 0.01, 0.2, -0.35, -0.2, 0.1
1.0, 0.0, 0.0, 0.3, 0.01, 0.2, -0.35, 0.2, 0.1
1.0, 0.0, 0.0, 0.01, 0.4, 0.2, -0.2, 0.0, 0.1
1.0, 0.0, 0.0, 0.01, 0.4, 0.2, -0.5, 0.0, 0.1
0.0, 0.0, 1.0, 0.01, 0.9, 0.3, 0.385, 0.0, 0.15
0.0, 0.0, 1.0, 0.01, 0.9, 0.3, 0.385, 0.0, 0.75
0.0, 0.0, 1.0, 0.01, 0.09, 0.3, 0.385, 0.0, 0.45
0.0, 0.0, 1.0, 0.01, 0.1, 0.3, 0.385, 0.4, 0.45
0.0, 0.0, 1.0, 0.01, 0.1, 0.3, 0.385, -0.4, 0.45
0.6, 1.0, 1.0, 0.2, 0.3, 0.3, 0.7, -0.155, 0.15
0.6, 0.7, 1.0, 0.2, 0.3, 0.3, 0.7, 0.155, 0.15
0.6, 1.0, 0.4, 0.2, 0.2, 0.2, 0.49, -0.205, 0.1
0.6, 0.4, 0.2, 0.2, 0.2, 0.2, 0.49, 0.0, 0.1
0.2, 0.5, 0.3, 0.2, 0.2, 0.2, 0.49, 0.205, 0.1
